AI,KN,MAKE,,,,,
AI,BA,KN,MAKE,,,,
AI,KN,AI,BA,MAKE,,,
JB,FOUL NON-SHOOTING,,,,,,
JB,TH,AI,MISS,,,,
AI,TH,MAKE,,,,,
JB,KN,MAKE,,,,,
JB,MISS,,,,,,
JB,TH,JB,MAKE,,,,
KN,JB,AND_ONE,,,,,
AI,TH,AI,MISS,,,,
JB,BA,KN,MISS,,,,
JB,KN,BA,TH,MISS,,,
JB,KN,FOUL NON-SHOOTING,,,,,
JB,BA,KN,BA,FT,,,
JB,MAKE,,,,,,
BA,JC,BA,DR,JC,KN,JB,MAKE
JC,BA,KN,JB,DR,MISS,,
KN,JB,DR,FT,,,,
KN,JC,MISS,,,,,
KN,MAKE,,,,,,
JB,JC,JB,NO PLAY,,,,
JB,BA,DR,MISS,,,,
JB,BA,MISS,,,,,
JB,KN,JB,JC,TURNOVER,,,
JB,FT,,,,,,
JB,MISS,,,,,,
JB,TH,MAKE,,,,,
JB,JC,JB,MAKE,,,,
